"Part #","Description","Effective From","Multiplication Factor(Part)","USD PRICE","",""
"113600361","BOLT-F HD","4/1/2015 5:30","1","1.98","",""
"114100461","BOLT-TORX","10/3/2015 5:30","1","2.20","",""
"01141N5041","SCR-FLAT HD","4/1/2015 5:30","1","0.95","",""
"01141N5061","SCREW","8/11/2017 5:30","1","2.47","",""
"01141N5081","SCREW","10/3/2015 5:30","1","0.91","",""
"0115100Q0B","STUD","1/31/2015 5:30","1","2.60","",""
"0115100Q0C","STUD","1/31/2015 5:30","1","2.79","",""
"0121100Q0M","NUT","1/31/2015 5:30","1","1.28","",""
"121700213","NUT-CAP,FLG","1/31/2015 5:30","1","0.91","",""
"121700253","NUT-CAP","10/3/2015 5:30","1","2.20","",""
"122100231","NUT-HEX,W/CONIC","1/31/2015 5:30","1","4.58","",""
"122100331","NUT-HEX,W/CONIC","10/3/2015 5:30","1","1.12","",""
"122100351","NUT-HEX,W/CONIC","10/3/2015 5:30","1","0.69","",""
"122100381","NUT-HEX,W/WAVE","1/31/2015 5:30","1","4.58","",""
"0122100QAH","NUT","4/1/2015 5:30","1","0.70","",""
"01221N6011","NUT-HEX,W/CON S","10/3/2015 5:30","1","0.91","",""
"01221N8011","NUT.","10/3/2015 5:30","1","0.91","",""
"122300201","NUT","1/31/2015 5:30","1","7.11","",""
"122300231","NUT-HEX,SELF LO","5/21/2019 5:30","1","3.44","",""
"122300241","NUT-HEX,SLOCK","10/3/2015 5:30","1","1.12","",""
"0122300Q1G","NUT","11/28/2015 5:30","1","2.19","",""
"01223N0021","NUT-SELF LOCK,F","10/3/2015 5:30","1","1.12","",""
"01223N2011","NUT","11/11/2016 5:30","1","1.12","",""
"01223N6011","NUT","4/1/2015 5:30","1","1.73","",""
"01223N8011","NUT","10/3/2015 5:30","1","1.12","",""
"122500133","NUT SPECIAL","4/5/2017 5:30","1","1.67","",""
"122500371","NUT","10/3/2015 5:30","1","0.69","",""
"122500481","NUT","10/3/2015 5:30","1","1.12","",""
"122500521","NUT-FLG","10/3/2015 5:30","1","1.12","",""
"122500561","NUT","10/3/2015 5:30","1","0.69","",""
"122500691","NUT-FLG PR 5N M","10/3/2015 5:30","1","0.91","",""
"122500701","NUT-FLG","10/3/2015 5:30","1","0.99","",""
"122500841","NUT","5/8/2018 5:30","1","0.46","",""
"122500881","NUT-FLG","10/3/2015 5:30","1","0.91","",""
"122500901","NUT","1/31/2015 5:30","1","0.27","",""
"0122500Q1J","NUT","10/3/2015 5:30","1","1.80","",""
"INF","NUT","10/3/2015 5:30","1","0.69","",""
"01225N0011","NUT","11/11/2016 5:30","1","0.91","",""
"01225N2011","NUT","10/3/2015 5:30","1","0.91","",""
"01225N2031","NUT-FLG,HEX","11/11/2016 5:30","1","0.91","",""
"01225N6011","BOLT","10/3/2015 5:30","1","0.69","",""
"01225N8011","NUT.","10/3/2015 5:30","1","0.91","",""
"01225N8031","NUT-FLG,HEX","1/31/2015 5:30","1","0.69","",""
"01225S001E","NUT.","1/31/2015 5:30","1","1.65","",""
"01225S604E","NUT","1/31/2015 5:30","1","1.76","",""
"01225S803E","NUT","1/31/2015 5:30","1","0.20","",""
"0122700Q0A","NUT","5/21/2019 5:30","1","1.81","",""
"123600061","NUT-CALK","4/1/2015 5:30","1","1.16","",""
"124100113","NUT","4/1/2015 5:30","1","2.16","",""
"124100941","NUT","10/3/2015 5:30","1","1.50","",""
"124101051","NUT-SPR","10/3/2015 5:30","1","1.12","",""
"124101131","NUT-SPR,PUSH","10/3/2015 5:30","1","0.91","",""
"128100111","GROMMET-SCREW","10/3/2015 5:30","1","1.12","",""
"128100401","GROMMET-SCREW","12/25/2016 5:30","1","1.41","",""
"128100601","GROM-SCR","10/3/2015 5:30","1","2.42","",""
"128100831","GROM-SCR","10/3/2015 5:30","1","1.12","",""
"128101121","GROM-SCR","4/1/2015 5:30","1","0.95","",""
"128101231","GROMMET-SCREW","10/3/2015 5:30","1","2.42","",""
"128101371","GROM-SCR","10/3/2015 5:30","1","0.91","",""
"128101431","GROMMET","9/1/2017 5:30","1","0.98","",""
"012813HN0B","GROMET","8/11/2017 5:30","1","0.65","",""
"131101251","WASH-PLAIN","10/3/2015 5:30","1","0.69","",""
"014110005A","SCREW","1/31/2015 5:30","1","0.36","",""
"01412S601E","SCREW","1/31/2015 5:30","1","0.21","",""
"141600093","SCREW","10/3/2015 5:30","1","1.12","",""
"142100231","SCR-P HD,CP","4/1/2015 5:30","1","1.84","",""
"0142200Q0E","SCREW","1/31/2015 5:30","1","2.79","",""
"0143100Q0A","BOLT","1/31/2015 5:30","1","1.30","",""
"143300171","SCR-OV HD,W/WAS","10/3/2015 5:30","1","1.12","",""
"143300181","SCR-OV HD,W/WAS","10/3/2015 5:30","1","1.12","",""
"0143300Q0C","BOLT-TENSIONER","1/31/2015 5:30","1","1.94","",""
"0143300Q0D","BOLT","1/13/2017 5:30","1","1.94","",""
"0143300Q0E","BOLT-TENSIONER","1/13/2017 5:30","1","1.94","",""
"143600631","SCR-MACHINE,HEX","10/3/2015 5:30","1","0.69","",""
"143601621","SCR-HEX HD,W/WA","10/3/2015 5:30","1","0.69","",""
"143601741","SCR-HEX HD,W/WA","10/3/2015 5:30","1","0.69","",""
"143601801","BOLT","10/3/2015 5:30","1","0.91","",""
"143601871","SCR-HEX HD,PP W","10/3/2015 5:30","1","0.69","",""
"014361HA0A","SCR-HEX HD,W/WA","7/28/2015 5:30","1","0.10","",""
"145100581","SCR-TAP,PAN HD","10/3/2015 5:30","1","0.83","",""
"145100681","SCR-TAP,P HD","10/3/2015 5:30","1","0.69","",""
"145400431","SCREW","1/31/2015 5:30","1","0.23","",""
"01454N5011","SCREW","10/3/2015 5:30","1","1.77","",""
"01454N5041","SCREW","1/31/2015 5:30","1","0.69","",""
"01454N5061","SCREW","11/11/2016 5:30","1","1.12","",""
"145600031","SCREW","10/3/2015 5:30","1","1.12","",""
"145600411","SCR-TAP,HEX HD","1/31/2015 5:30","1","0.62","",""
"145600451","SCR-TAP,HEX HD","10/3/2015 5:30","1","1.12","",""
"145600461","SCR-TAP,HEX HD","10/3/2015 5:30","1","0.91","",""
"145600721","SCR-SELF FORMIN","10/3/2015 5:30","1","0.91","",""
"0145600Q0E","SCREW","10/3/2015 5:30","1","0.91","",""
"01456N8011","BOLT","10/3/2015 5:30","1","1.77","",""
"01456S611E","BOLT","1/31/2015 5:30","1","0.26","",""
"146600163","SCR-TAP,HEX HD","4/1/2015 5:30","1","2.10","",""
"146600261","SCR-TAP,HEX HD","10/3/2015 5:30","1","0.69","",""
"155200661","CLIP-CABLE","5/8/2018 5:30","1","0.94","",""
"155200911","CLIP","10/3/2015 5:30","1","2.66","",""
"155200912","CLIP-CABLE","10/3/2015 5:30","1","3.19","",""
"155300561","CLIP-TRIM","10/3/2015 5:30","1","0.69","",""
"155301171","CLIP","10/3/2015 5:30","1","1.77","",""
"155301675","CLIP-TRIM","4/1/2015 5:30","1","3.46","",""
"0155301A50","CLIP SEALING","1/31/2015 5:30","1","0.69","",""
"155302923","CLIP-TRIM","10/3/2015 5:30","1","1.12","",""
"155303131","CLIP","10/3/2015 5:30","1","1.12","",""
"155303643","CLIP","10/3/2015 5:30","1","1.12","",""
"155304333","CLIP","10/3/2015 5:30","1","2.07","",""
"155304643","CLIP","10/3/2015 5:30","1","1.77","",""
"155304691","FASTENER","10/3/2015 5:30","1","0.69","",""
"155304993","CLIP-TRIM","10/3/2015 5:30","1","1.12","",""
"155305131","CLIP","10/3/2015 5:30","1","0.91","",""
"155305323","CLIP-TRIM..","10/3/2015 5:30","1","0.91","",""
"155305793","CLIP-TRIM","10/3/2015 5:30","1","1.12","",""
"155305803","CLIP-TRIM","10/3/2015 5:30","1","0.91","",""
"155305811","CLIP","8/11/2017 5:30","1","4.30","",""
"155305833","CLIP-TRIM","10/3/2015 5:30","1","1.12","",""
"155305841","CLIP-TRIM","4/1/2015 5:30","1","1.35","",""
"155305933","CLIP-TRIM..","5/21/2019 5:30","1","1.00","",""
"155305971","CLIP-TRIM","10/3/2015 5:30","1","5.47","",""
"155307711","CLIP-TRIM","4/1/2015 5:30","1","1.35","",""
"155309001","CLIP-TRIM","10/3/2015 5:30","1","0.91","",""
"155309241","CLIP","1/31/2015 5:30","1","1.77","",""
"155309321","CLIP-TRIM","5/21/2019 5:30","1","1.07","",""
"155309611","CLIP","9/1/2017 5:30","1","0.98","",""
"155309951","CLIP-TRIM","10/3/2015 5:30","1","1.12","",""
"155310411","CLIP-TRIM","10/3/2015 5:30","1","1.12","",""
"155310491","CLIP","10/3/2015 5:30","1","0.91","",""
"155310501","CLIP.","9/1/2017 5:30","1","0.98","",""
"155310701","CLIP-TRIM","9/1/2017 5:30","1","0.98","",""
"155310721","CLIP-TRIM..","9/1/2017 5:30","1","0.98","",""
"155310751","CLIP-TRIM","10/3/2015 5:30","1","1.63","",""
"015531HA0B","CLIP","9/1/2017 5:30","1","0.13","",""
"015531HA0C","CLIP-TRIM","10/3/2015 5:30","1","0.10","",""
"015531HA0D","CLIP.","12/7/2017 5:30","1","0.05","",""
"015531HA0D","CLIP.","12/6/2017 5:30","1","0.05","",""
"015531HA0D","CLIP.","5/21/2019 5:30","1","0.07","",""
"015531HJ0A","CLIP","1/31/2015 5:30","1","0.29","",""
"015532FR0A","PLASTI-RIVET 8","11/12/2017 5:30","1","0.38","",""
"155330001","CLIP-TRIM","5/21/2019 5:30","1","1.00","",""
"015534LA0A","CLIP-TRIM","11/22/2019 5:30","1","0.05","",""
