"Group","Category","Sub Category","PART-NO","ENG-NO","DESC","HSN Code","Inv_Sts","USD PRICE","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA004","ESC0RTPENNANTS           ","ESCORT PENNANTS     ","63079090","ONR","4.65","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA004A","D0HCPENNANT(SMALL)       ","DOHC PENNANT (SMALL)","63079090","ONR","0.92","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA004B","D0HCPENNANT(B1G)         ","DOHC  PENNANT (BIG) ","63079090","ONR","2.79","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA007","ST1CKERSF0RDBADGE        ","XX                  ","39199090","ONR","0.17","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA008","ESC0RTL1CENSEPLATES      ","SET OF 2            ","39199090","ONR","1.72","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA008A","ESC0RT16VL1CENSEPLAT     ","ESCORT 16V LICENSE P","87082900","ONR","1.86","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA008B","ESC0RT1.8L1CENSEPLAT     ","ESCORT 1.8 LICENSE P","87082900","ONR","1.86","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA009","F0LDERFLAT               ","T-SHIRT             ","49111090","ONR","0.25","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA010","PAPERFL00RMATS           ","PAPER FLOORMATS     ","48239090","ONR","0.05","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA011","F0RDDEALERLAPELBADGE     ","#REF!#REF!","71171990","ONR","0.30","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA015","1.6ZETECBANNER           ","1.6 ZETEC BANNER    ","49111090","ONR","4.87","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMS002","SA002CUST0MER            ","INFORMATIONRECORD F ","87089900","ONR","0.01","",""
