"Part #","Description","USD EXW","",""
"72140SNBG01ZF","HANDLE ASSY.R FR DR","114.63","",""
"90001PM3003","BOLT DRAIN PLUG 2","4.67","",""
"44011SR3030","SET SHAFT COMP L","0.00","",""
"32100SX8N09","WIRE HARN. CABIN","107.78","",""
"81131SNND21ZA","TRIM COV R.FR CUSH*Y","113.90","",""
"83223SDEZ11","LAMP BULB","4.72","",""
"34760TA0J01","LIGHT ASSY.FOOT","12.15","",""
"23982PPPJ00","SHIM.72 BA","4.07","",""
"74135SWA003ZB","LEVER COMP HOOD OPEN","8.90","",""
"77190TG2003ZA","LID. PASSENGER UPPER*NH167L*","7.70","",""
"04603S47315ZZ","CROSS MBR LWR FR.","0.00","",""
"91022PRP003","NEEDLE.THRUST 46.","7.21","",""
"14645PWA000","SPG.ROCKER ARM","1.13","",""
"45018SDDA00","CALIPER SUB-ASSY","353.83","",""
"31206RAAA01","ROTOR COMP","154.90","",""
"71145TM2X10","BASE.FR LIC PL","3.36","",""
"08F02TG17S0X","TAILGATE SPOILER","81.43","",""
"82455TM0T01ZB","BELT ASSY INN R.RR S","10.03","",""
"73335SNLT01","GARN R.FR CORN","9.10","",""
"11000REAE00C1","ENGINE SUB ASSY-AT","2594.88","",""
"13011RNAA01","RING SET.PISTON","34.12","",""
"89320S05003","BAR JACK","0.42","",""
"45251TA1A00","DISK.FR BRAKE (16","125.15","",""
"90140SA5000","BOLT SPLASH GUARD","2.11","",""
"78540SNBN81ZA","GARNISH A","29.92","",""
"21350PR1030","COVER.CASE CLUTCH","10.57","",""
"63210TG2K00ZZ","STIFF COMP R.CTR PLR","65.16","",""
"46182500013","CLIP.CYLINDER","1.03","",""
"90001P70000","BOLT. FLANGE 10X10.5","1.46","",""
"12320RCAA00","COVER COMP CYLN H","123.35","",""
"90109ST00030","SCREW TAP 4X16","0.17","",""
"17044SNA010","SET.FUEL TANK COMP","198.89","",""
"22670RDGA01","PISTON COMP.3RD CLUT","40.93","",""
"14200RCAA10","CAMSHAFT.R","234.79","",""
"90521RPC000","WASHER.THRUST 31X54X","6.93","",""
"72950TL0003","MLDG ASSY.L RR DO","32.77","",""
"76540SNAA01","ROD UNIT A","4.69","",""
"45237SR3003","RETAINER A","3.60","",""
"82172TG0T02","HOOK CABLE","0.80","",""
"13460RZP003","GUIDE.B-CHAIN","7.99","",""
"61310TG2T20ZZ","BEAM COMP.STRG HANGER","158.12","",""
"27112PWR020","PLATE.MAIN SEPRATING","8.23","",""
"13030PNC000","PISTON SET (0.25","45.17","",""
"78125S84G01","METER ASSY TACHO","51.38","",""
"88217TF0003ZD","HOLDER SUNVISOR *NH556L*","2.47","",""
"82621SWAA01","LEVER COVER INN L RR","3.31","",""
"72210S84E02","REG ASSY R FR D","106.97","",""
"15301PE0300","BOLT.SEALING 14MM","1.99","",""
"08Z01SX7552S","SPL PCKG 17","0.00","",""
"74814TG2K01","KNOB.GLASS HATCH","8.98","",""
"44600SDAA10","HUB ASSY.FRONT","115.30","",""
"90002RMX000","BOLT.SOCKET 4X12","0.75","",""
