Sr. No.,Part,Source,HSNCode,Part Description,Model,USD PRICE
145,C90555510,O,87089900,CROSS MEMBER RAD RIGHT,ASTRA,0.73
146,C90555619,O,87089900,REINFORCEMENT A FRT PANEL,ASTRA,16.64
147,C90555621,O,87089900,FRONT PANEL SIDE LH,ASTRA,4.73
148,C90555631,O,87089900,WHEEL HOUSE FRT LEFT,ASTRA,22.96
149,C90555901,O,87089900,CATCH LOCK HOOD,ASTRA,5.63
150,C90556106,O,87089900,COVER A INST FOR T ROOT WOO,ASTRA,16.48
151,C90556343,O,87089900,HOUSING A NOZZLE OTR RH,ASTRA,1.52
152,C90556379,O,,MOULDING GUIDE,ASTRA,0.00
153,C90556384,O,87089900,NAME PLATE OPEL,ASTRA,1.09
154,C90556428,O,87089900,RAIL DROP,ASTRA,0.31
155,C90556601,O,87089900,WEATHERSTRIP A INR WDO CHANNE,ASTRA,1.83
156,C90556604,O,87089900,WEATHER STRIP A INR WDO CHANNEL,ASTRA,2.24
157,C90556687R,O,87089900,POWER ANTENNA W O BRACKET,ASTRA,61.72
158,C90556982,O,87089900,WINDOW LIFTER A ELEC FRONT LH,ASTRA,83.52
159,C90557404,O,87089900,TRUNK LID POCKET FUEL ADDITI,ASTRA,4.52
160,C90557412,O,87089900,AXLE SHAFT A FRT DIESEL,ASTRA,108.15
161,C90557487,O,87089900,TRIM A FRONT DOOR RH,ASTRA,80.92
162,C90557489,O,87089900,TRIM A REAR DOOR LH,ASTRA,80.92
163,C90557490,O,87089900,TRIM A REAR DOOR RH,ASTRA,80.92
164,C90557611,O,87089900,COMP DOUBLE LIP H P COIL,ASTRA,200.32
165,C90557614,O,87089900,MIRROR A OUTSIDE RH,ASTRA,29.04
166,C90557645,O,87089900,ALLOY WHEEL OPEL 100 5 SPOKE,ASTRA,117.87
167,C90557650,O,87089900,AME PLATE GLI MY2000,ASTRA,0.83
168,C90557657,O,87089900,FRONT TURN SIGNAL RH AMBER,ASTRA,5.36
169,C90557662,O,87089900,FRONT SEAT BELT ASM LH,ASTRA,12.54
170,C90557664,O,87089900,BUCKLE A SEAT BELT FRONT RH,ASTRA,4.85
171,C90557669,O,87089900,NAME PLATE GLI SIDE MOULDING,ASTRA,0.78
172,C90557670,O,87089900,WIRING HARNESS I PANEL,ASTRA,171.59
173,C90557683,O,87089900,REALY ASM FOG LAMP FRT,ASTRA,1.35
174,C90557691,O,87089900,DOOR TRIM F LH MY01GL GLI CLU,ASTRA,67.47
175,C90557866,O,87089900,TRIM FRT DOOR RH,ASTRA,73.97
176,C90557867,O,87089900,TRIM FRT DOOR LH,ASTRA,73.97
177,C90557884,O,87089900,RADIATOR CLAMP DIESEL,ASTRA,0.61
178,C90571369,O,87089900,CONVERTER A1 CYTALYTIC LZ,ASTRA,154.75
179,C90572945,O,87089900,AIR CLEANER A IDF AF,ASTRA,81.05
180,C90575882,O,87089900,STRUT ASM SET 16NZR,ASTRA,646.08
181,C90587118,O,87089900,WIRING HARNESS A REAR BODY,ASTRA,133.36
182,C9114914,O,87089900,EMBLEM WORLD CUP LOGO,ASTRA,4.92
183,C912091,O,87089900,JACKET ASSY STEERING COLUMN,ASTRA,80.54
184,C9129466,O,87089900,V RIBBED BELT,ASTRA,12.60
185,C9131516,O,87089900,WIRING HARNESS A FRT BODY,ASTRA,77.92
186,C9132230,O,87089900,COVER A LOCK CYLINDERS,ASTRA,2.73
187,C9138043,O,87089900,SWITCH A HAZARD LIGHT,ASTRA,3.78
188,C9142453,O,87089900,DOOR A FUEL FILLER,ASTRA,8.19
189,C9158037,O,87089900,CONVERTER A1 CYTALYTIC AT,ASTRA,321.98
190,C9202978,O,87089900,HOSE ELBOW UPPER,ASTRA,18.37
191,C9202981,O,87089900,HOSE HEATER FEEDING,ASTRA,22.25
192,C9202983,O,,HOLDER,ASTRA,0.00
193,C92065304,O,87089900,CATALYTIC CONVERTOR MPFI,ASTRA,173.09
194,C92086789,O,87089900,EMBLEM ASM L GATE 1 4,CORSA,0.69
195,C92088299,O,87089900,WHEEL ASM 5J 13 BLACK PAIN,CORSA,11.85
196,C92125125,O,87089900,DVD PLAYER IN SLOT TYPE MM2,ASTRA,658.29
197,C92125127,O,87089900,INFRA RED CORDLESS HEAD PHONE,ASTRA,63.88
198,C93236867,O,87089900,PLATE FRT CROSS MEMBER,CORSA,23.05
199,C93237012,O,87089900,FENDER FRT RH,Undefined,36.60
200,C93310223,O,87089900,LEVER ASM M TRNS CONT SHF,CORSA,48.08
201,C93598044,O,87089900,ECM FAMILY I ENGINE,ASTRA,198.01
202,C93599853,O,87089900,ECM FAM I ENGINE AT FAM 1,ASTRA,196.54
203,C93599853R,O,87089900,ECM FAM I ENGINE AT FAM 1 R,ASTRA,196.54
204,C981016,O,87089900,COMPRESSOR BRACKET DV,ASTRA,164.38
205,C981020,O,87089900,IDLER PULLY DV,ASTRA,49.24
206,C981026,O,87089900,HEXAGONAL BOLT DV,ASTRA,0.56
207,C981034,O,87089900,CLAMP 25 40 DV,ASTRA,4.19
208,C981044,O,87089900,SEALING RADIATOR DV,ASTRA,13.54
209,C981046,O,87089900,AC RELAY FOR DIESEL,ASTRA,29.44
210,C981050,O,87089900,HOSE E C DV,ASTRA,166.68
211,C981094,O,87089900,BELT 10 X 636,ASTRA,3.95
212,C981097PA,O,87089900,RECEIVER 620 WITH MANUAL WC,ASTRA,178.82
213,684059,O,87089900,BRACKET ENG MOUNT FR RH,VECTRA,32.02
