S. No.,Part No.,Description,USD Price,
329,5590125100,"Chain drive Kit
(With Sprockets)
B9 84 Links (Crank-FIP)
B9 76 Links (FIP-CAM)",217.21,
330,5310077100,"Belt Tensioner Manual
ØD = 60, W = 32, with Allen Hole",9.62,
331,5310112200,"Belt Tensioner Manual
ØD = 42, W = 28",9.54,
332,5310118200,"Belt Tensioner Manual
ØD = 60, W = 28.5",9.29,
333,5310215200,"Belt Tensioner Pulley
ØD = 62, W = 28.5",24.34,
334,5310440300,"Belt Tensioner Mechanical
ØD = 67.5, W = 30",45.32,
335,5310565300,"Belt Tensioner Mechanical
ØD = 78.4, W = 35.3",51.16,
336,5310582100,"Belt Tensioner Pulley
ØD = 58, W = 32",10.00,
337,5310802100,"Belt Tensioner Automatic
ØD = 59, W = 32",22.79,
338,5310909100,"Belt Tensioner Automatic
ØD = 67.7, W = 25.65",32.87,
339,5310925100,"Belt Tensioner Automatic
ØD = 59, W = 32",20.44,
340,5320197100,"Touch Idler Pulley (Steel)
ØD = 28.5, W = 34",6.74,
341,5320314200,"Tensioner Pulley (Steel Flat) ØD = 55, W = 25",9.82,
342,5320506100,"Idler Pulley (Plastic Plain)
ØD = 60, W = 29",8.06,
343,5320540100,"Idler Pulley-(Steel-Flat)
ØD = 58, W = 32",13.95,
344,5320702100,"Idler Pulley (Steel-Flat)
ØD = 59.7, W = 34",17.85,
345,5320704100,"Idler Pulley (Plastic Plain)
ØD = 60, W = 30",8.38,
346,5320883100,"Idler Pulley (Steel-Flat with Bolt & Spacer)
ØD = 55, W = 30",9.02,
347,5510038100,Timing Chain Tensioner,7.43,
348,5510174100,Timing Chain Tensioner,9.10,
349,5510190100,Timing Chain Tensioner,11.39,
350,5550015100,Chain Tensioner Lever,2.26,
351,5550561100,Chain Tensioner Lever,3.55,
352,5520008100,Chain Guide (Rail),2.31,
353,5520152100,Chain Guide (Rail),2.21,
354,5540008100,Chain Sprocket Crankshaft - 21 tooth,1.96,
355,5540009100,Chain Sprocket Camshaft - 42 tooth,3.88,
356,5530231100,"Timing Chain
Crank to FIP (76 Link) ",12.23,
357,5530232100,"Timing Chain
FIP to Cam (84 Link) ",11.43,
358,5530272000,Timing Chain (104 Links),14.49,
359,5330081300,"Belt Tensioner Hydraulic
ØD = 70, W = 24.5",76.17,
360,5340059100,"Belt Tensioner Mechanical
ØD = 70, W = 24",44.45,
361,5340151100,"Belt Tensioner Mechanical
ØD = 70, W = 24",43.75,
362,5340164100,"Belt Tensioner Mechanical
ØD = 70, W = 26",38.36,
363,5340408100,"Belt Tensioner Automatic
ØD = 70, W = 27",86.36,
364,5340550100,"Belt Tensioner Mechanical
ØD = 65, W = 22",19.32,
365,5340586100,"Belt Tensioner Hydraulic
ØD = 65, W = 29.5
7PK Steel Pulley",71.79,
366,5340636100,"Belt Tensioner Mechanical
ØD = 65, W = 21",16.71,
367,5340673100,"Belt Tensioner Mechanical
ØD = 65, W = 29
7PK Belt",21.06,
368,5340674100,"Belt Tensioner Mechanical
ØD = 65, W = 26
6PK Belt",16.66,
369,5340691100,"Belt Tensioner Mechanical
ØD = 74, W = 39 8PK Belt",23.29,
370,5320507100,"Tensioner Pulley (Plastic with Long Spacer) A/C Drive -  ØD = 65, W = 21",5.44,
371,5320508100,"Tensioner Replacement Pulley Flat Alt-PS Drive  ØD = 70, W = 24.5",4.89,
372,5320639100,"Idler Pulley (Plastic Plain)
ØD = 65, W = 22",6.61,
373,5320642100,"Idler Pulley (Plastic Groove - 5PK)
ØD = 65, W = 25.5",8.18,
374,5320643100,"Idler Pulley (Plastic Groove - 6PK)
ØD = 69, W = 26.4",4.90,
375,5320703100,"Tensioner Pulley (Plastic with Short Spacer)
Alternator Drive - ØD = 65, W = 21",5.44,
376,5320831100,"Tensioner Replacement Pulley ØD = 65, W = 26 (6 Rib Belt)",4.65,
377,5320847100,"Tensioner Replacement Pulley ØD = 65, W = 29 (7 Rib Belt)",6.79,
378,5320863100,"Idler Pulley (Steel Groove Pulley - 6PK) ØD = 65, W = 29.2",14.82,
379,5350012100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 55.9
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",22.08,
380,5350050100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 49.7
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",21.65,
381,5350063100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 54
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 16",20.68,
382,5350077100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 55.7
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 7.6",28.44,
383,5350102100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 54.8
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1
(Face - 1st Grv 13.8)",23.69,
384,5350105100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 55
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 14.4
(Face - 1st Grv 17.45)",23.24,
385,5350110100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 59.4
Grooves = 6
Alt. Shaft Ød = 15
Thread = M14x1.5
Insert length = 10.1",27.02,
386,5350128100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 58.7
Grooves = 7
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",22.77,
387,5350155100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 49.4
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",20.28,
388,5350170100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 53.8
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 14.4",27.09,
389,5350173100,"OAP (Denso Alternator)
Pulley OD (Ø) = 58
Grooves = 7
Alt. Shaft Ød = 15
Thread = M14x1.5
Insert length = 13",25.43,
390,5350187100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 57
Grooves = 5
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 14.4",21.82,
