S. No.,Part No.,Description,USD Price,
215,64.12201-5009,FUEL TANK ASSY 335LTR (ALUMINISED),295.71,
216,64.12201-5010,FUEL TANK ASSY 200LTR (ALUMINISED),240.63,
217,64.12300-6001,FUEL SUPPLY PIPES,98.36,
218,64.12501-6002,FUEL WATER SEPARATOR (PARKER 900FH10),223.93,
219,64.12501-6005,FUEL WATER SEPARATOR (PARKER ON ROAD),40.41,
220,64.12501-7009,REPLACEMENT ELEMENT KIT,19.92,
221,64.12501-7012,SPINON FILTER WITH  GASKETS,27.34,
222,64.12501-7018,"KIT FUEL FILTER, OIL FILTER, WATER SEPAR",52.14,
223,64.12501-7019,KIT FUEL FILTER & REPLACEMENT ELEMENT,52.23,
224,64.12501-7020,"KIT FUEL FILTER, ELEMENT & WATER SEPARAT",60.08,
225,64.12501-7021,"KIT FUEL FILTER, OIL FILTER, FILTER (RME",44.19,
226,64.15101-0001,EXHAUST SILENCER FOR 6Cyl. ENGINE,128.08,
227,64.15101-0005,EXHAUST SILENCER (THROUGH SILENCER),160.91,
228,64.15101-0007,EXHAUST SILENCER (E4),774.88,
229,64.15204-0028,FLEXIBLE SILENCER TAIL PIPE,34.62,
230,64.15204-0029,FLEXIBLE SILENCER SUCTION PIPE,26.11,
231,64.15204-0057,FLEXIBLE PIPE (EXHAUST END),47.11,
232,64.15402-6001,UREA TANK ASSLY WITH LEVEL SENSOR (CUMMI,455.86,
233,64.15402-6005,AUS 32 TANK CAP (A043M250),114.87,
234,64.15501-0025,SILENCER HOLDING BRACKET,1.69,
235,64.15600-6002,ASSY EXHAUST BRAKE W CONNECTOR,214.74,
236,64.19220-0004,NOISE INSULATION (REAR WALL) DAY CAB,26.78,
237,64.25101-6012,HEADLAMP WITH  AUTOADJUSTER & BULBS,53.96,
238,64.25101-6014,HEADLAMP WITH  AUTOADJUSTER & BULBS LHD,44.88,
239,64.25108-0001,FRONT GLASS (2HL-409-001),2.40,
240,64.25201-6003,INTERIOR LAMP WITH BULBS,6.01,
241,64.25225-6001,TAIL LAMP ASSLY LH WITH BULBS,27.58,
242,64.25225-6002,TAIL LAMP ASSLY RH WITH BULBS,27.58,
243,64.25260-6001,END OUT LINE MARKER LAMP (POSITION LAMP),2.36,
